Cat	Countries	Dimension	value
Entrepreneurs	Iceland	Quality_of_opportunities	0.3989922
Entrepreneurs	Israel	Quality_of_opportunities	0.3357277
Entrepreneurs	Italy	Quality_of_opportunities	0.2462871
Entrepreneurs	Japan	Quality_of_opportunities	0.3710742
Entrepreneurs	Korea	Quality_of_opportunities	0.5146096
Entrepreneurs	Lithuania	Quality_of_opportunities	0.4492704
Entrepreneurs	Luxembourg	Quality_of_opportunities	0.4816681
Entrepreneurs	Latvia	Quality_of_opportunities	0.3582314
Entrepreneurs	Mexico	Quality_of_opportunities	0.2911439
Entrepreneurs	Netherlands	Quality_of_opportunities	0.2527304
Entrepreneurs	Norway	Quality_of_opportunities	0.3828077
Entrepreneurs	New Zealand	Quality_of_opportunities	0.5354446
Entrepreneurs	Poland	Quality_of_opportunities	0.3678049
Entrepreneurs	Portugal	Quality_of_opportunities	0.3137289
Entrepreneurs	Slovak Republic	Quality_of_opportunities	0.3955555
Entrepreneurs	Slovenia	Quality_of_opportunities	0.3803623
Entrepreneurs	Sweden	Quality_of_opportunities	0.3547808
Entrepreneurs	Turkey	Quality_of_opportunities	0.444802
Entrepreneurs	United States	Quality_of_opportunities	0.5791239
Students	Australia	Quality_of_opportunities	0.1889764
Students	Austria	Quality_of_opportunities	0.0472441
Students	Belgium	Quality_of_opportunities	0.0551181
Students	Canada	Quality_of_opportunities	0.1496063
Students	Switzerland	Quality_of_opportunities	0.0551181
Students	Chile	Quality_of_opportunities	0.007874
Students	Colombia	Quality_of_opportunities	0
Students	Czech Republic	Quality_of_opportunities	0.015748
Students	Germany	Quality_of_opportunities	0.2440945
Students	Denmark	Quality_of_opportunities	0.0393701
Students	Spain	Quality_of_opportunities	0.0866142
Students	Estonia	Quality_of_opportunities	0
Students	Finland	Quality_of_opportunities	0.0393701
Students	France	Quality_of_opportunities	0.1259843
Students	United Kingdom	Quality_of_opportunities	0.2992126
Students	Greece	Quality_of_opportunities	0.007874
Students	Hungary	Quality_of_opportunities	0
Students	Ireland	Quality_of_opportunities	0.023622
Students	Iceland	Quality_of_opportunities	0
Students	Israel	Quality_of_opportunities	0.0472441
Students	Italy	Quality_of_opportunities	0.1338583
Students	Japan	Quality_of_opportunities	0.1023622
Students	Korea	Quality_of_opportunities	0.0866142
Students	Lithuania	Quality_of_opportunities	0
Students	Luxembourg	Quality_of_opportunities	0
Students	Latvia	Quality_of_opportunities	0
Students	Mexico	Quality_of_opportunities	0.007874
Students	Netherlands	Quality_of_opportunities	0.0944882
Students	Norway	Quality_of_opportunities	0.023622
Students	New Zealand	Quality_of_opportunities	0.0314961
Students	Poland	Quality_of_opportunities	0.015748
Students	Portugal	Quality_of_opportunities	0.0314961
Students	Slovak Republic	Quality_of_opportunities	0
Students	Slovenia	Quality_of_opportunities	0.007874
Students	Sweden	Quality_of_opportunities	0.0787402
Students	Turkey	Quality_of_opportunities	0.007874
Students	United States	Quality_of_opportunities	1
Start-ups	Australia	Quality_of_opportunities	0.1704099
Start-ups	Austria	Quality_of_opportunities	0.2227542
Start-ups	Canada	Quality_of_opportunities	0.2695245
Start-ups	Chile	Quality_of_opportunities	0.138751
Start-ups	Germany	Quality_of_opportunities	0.1501034
Start-ups	Denmark	Quality_of_opportunities	0.1349886
Start-ups	Spain	Quality_of_opportunities	0.1227948
Start-ups	Estonia	Quality_of_opportunities	0.2142142
Start-ups	Finland	Quality_of_opportunities	0.1607002
Start-ups	France	Quality_of_opportunities	0.201029
Start-ups	United Kingdom	Quality_of_opportunities	0.2398595
Start-ups	Ireland	Quality_of_opportunities	0.3654869
Start-ups	Israel	Quality_of_opportunities	0.1606253
Start-ups	Italy	Quality_of_opportunities	0.1341983
Start-ups	Japan	Quality_of_opportunities	0.1508161
Start-ups	Korea	Quality_of_opportunities	0.1992429
Start-ups	Lithuania	Quality_of_opportunities	0.1958619
Start-ups	Latvia	Quality_of_opportunities	0.20212
Start-ups	Netherlands	Quality_of_opportunities	0.2057883
Start-ups	New Zealand	Quality_of_opportunities	0.1352211
Start-ups	Poland	Quality_of_opportunities	0.1802044
Start-ups	Portugal	Quality_of_opportunities	0.1970765
Start-ups	Sweden	Quality_of_opportunities	0.1431898
Start-ups	United States	Quality_of_opportunities	0.7060618
Workers	Korea	Income	0.4776795
Workers	Japan	Income	0.3972118
Workers	United States	Income	0.4902144
Workers	Sweden	Income	0.3555539
Workers	Norway	Income	0.4423443
Workers	Denmark	Income	0.4898482
Workers	Germany	Income	0.3634648
Workers	New Zealand	Income	0.4251504
Workers	Iceland	Income	0.3968698
Workers	France	Income	0.3166563
Workers	Finland	Income	0.3769909
Workers	Portugal	Income	0.357927
Workers	Switzerland	Income	0.5116125
Workers	Canada	Income	0.4058789
Workers	Netherlands	Income	0.4603311
Workers	Luxembourg	Income	0.3328978
Workers	Belgium	Income	0.296163
Workers	United Kingdom	Income	0.3683656
Workers	Israel	Income	0.2988106
Workers	Australia	Income	0.4675241
Workers	Spain	Income	0.3552316
Workers	Lithuania	Income	0.3602237
Workers	Estonia	Income	0.3453444
Workers	Slovenia	Income	0.3615302
Workers	Ireland	Income	0.4085175
Workers	Austria	Income	0.3484339
Workers	Hungary	Income	0.3945672
Workers	Latvia	Income	0.3218941
Workers	Czech Republic	Income	0.379037
Workers	Slovak Republic	Income	0.3235102
Workers	Greece	Income	0.4259133
Workers	Poland	Income	0.4340172
Workers	Italy	Income	0.3550687
Workers	Chile	Income	0.6218377
Workers	Costa Rica	Income	0.4653567
Workers	Turkey	Income	0.4291037
Workers	Mexico	Income	0.5304746
Workers	Colombia	Income	0.6472492
Entrepreneurs	Australia	Income	0.3356432
Entrepreneurs	Austria	Income	0.392987
Entrepreneurs	Belgium	Income	0.3850519
Entrepreneurs	Canada	Income	0.505065
Entrepreneurs	Switzerland	Income	0.6666667
Entrepreneurs	Chile	Income	0.6465837
Entrepreneurs	Colombia	Income	0.3139158
Entrepreneurs	Costa Rica	Income	0.3225452
Entrepreneurs	Czech Republic	Income	0.4602336
Entrepreneurs	Germany	Income	0.5421144
Entrepreneurs	Denmark	Income	0.4760155
Entrepreneurs	Spain	Income	0.3582478
Entrepreneurs	Estonia	Income	0.4079598
Entrepreneurs	Finland	Income	0.4290005
Entrepreneurs	France	Income	0.3274528
Entrepreneurs	United Kingdom	Income	0.426338
Entrepreneurs	Greece	Income	0.3856127
Entrepreneurs	Hungary	Income	0.6314449
Entrepreneurs	Ireland	Income	0.5891758
Entrepreneurs	Iceland	Income	0.3958077
Entrepreneurs	Israel	Income	0.2769167
Entrepreneurs	Italy	Income	0.3730458
Entrepreneurs	Japan	Income	0.3811206
Entrepreneurs	Korea	Income	0.3535965
Entrepreneurs	Lithuania	Income	0.4915052
Entrepreneurs	Luxembourg	Income	0.4529864
Entrepreneurs	Latvia	Income	0.3926125
Entrepreneurs	Mexico	Income	0.3402114
Entrepreneurs	Netherlands	Income	0.4003486
Entrepreneurs	Norway	Income	0.4786299
Entrepreneurs	New Zealand	Income	0.2764606
Entrepreneurs	Poland	Income	0.4816911
Entrepreneurs	Portugal	Income	0.253691
Entrepreneurs	Slovak Republic	Income	0.3832737
Entrepreneurs	Slovenia	Income	0.4687629
Entrepreneurs	Sweden	Income	0.4049084
Entrepreneurs	Turkey	Income	0.4285092
Entrepreneurs	United States	Income	0.5015361
Students	Australia	Income	0.4253692
Students	Austria	Income	0.3120161
Students	Belgium	Income	0.3977413
Students	Canada	Income	0.4269767
Students	Switzerland	Income	0.625
Students	Chile	Income	0.6365833
Students	Colombia	Income	0.4878179
Students	Czech Republic	Income	0.3227379
Students	Germany	Income	0.6818213
Students	Denmark	Income	0.3438616
Students	Spain	Income	0.6193026
Students	Estonia	Income	0.4269297
Students	Finland	Income	0.3593549
Students	France	Income	0.3126007
Students	United Kingdom	Income	0.363709
Students	Greece	Income	0.3415422
Students	Hungary	Income	0.654128
Students	Ireland	Income	0.3614926
Students	Iceland	Income	0.5096514
Students	Israel	Income	0.0786455
Students	Italy	Income	0.5985065
Students	Japan	Income	0.6667085
Students	Korea	Income	0.6145889
Students	Lithuania	Income	0.6899464
Students	Luxembourg	Income	0.5711465
Students	Latvia	Income	0.3574029
Students	Mexico	Income	0.4581053
Students	Netherlands	Income	0.3315062
Students	Norway	Income	0.6729133
Students	New Zealand	Income	0.3550615
Students	Poland	Income	0.7291477
Students	Portugal	Income	0.5470309
Students	Slovak Republic	Income	0.5432128
Students	Slovenia	Income	0.4655669
Students	Sweden	Income	0.4169285
Students	Turkey	Income	0.6957141
Students	United States	Income	0.3814872
Start-ups	Australia	Income	0.1707682
Start-ups	Austria	Income	0.2832916
Start-ups	Canada	Income	0.4981547
Start-ups	Chile	Income	0.7107319
Start-ups	Germany	Income	0.415831
Start-ups	Denmark	Income	0.2144259
Start-ups	Spain	Income	0.4408298
Start-ups	Estonia	Income	0.3580893
Start-ups	Finland	Income	0.2283447
Start-ups	France	Income	0.3813276
Start-ups	United Kingdom	Income	0.4052818
Start-ups	Ireland	Income	0.4838055
Start-ups	Israel	Income	0.3375
Start-ups	Italy	Income	0.3469774
Start-ups	Japan	Income	0.311763
Start-ups	Korea	Income	0.4133188
Start-ups	Lithuania	Income	0.6189502
Start-ups	Latvia	Income	0.3322971
Start-ups	Netherlands	Income	0.4288595
Start-ups	New Zealand	Income	0.1923713
Start-ups	Poland	Income	0.5285257
Start-ups	Portugal	Income	0.4282324
Start-ups	Sweden	Income	0.2618056
Start-ups	United States	Income	0.2914765
Workers	Korea	Future_prospects	0.5931076
Workers	Japan	Future_prospects	0.6256554
Workers	United States	Future_prospects	0.6349598
Workers	Sweden	Future_prospects	0.6340654
Workers	Norway	Future_prospects	0.5839161
Workers	Denmark	Future_prospects	0.3770295
Workers	Germany	Future_prospects	0.5873575
Workers	New Zealand	Future_prospects	0.6897653
Workers	Iceland	Future_prospects	0.5978256
Workers	France	Future_prospects	0.6297782
Workers	Finland	Future_prospects	0.5613459
Workers	Portugal	Future_prospects	0.7745371
Workers	Switzerland	Future_prospects	0.4312023
Workers	Canada	Future_prospects	0.7214367
Workers	Netherlands	Future_prospects	0.6265563
Workers	Luxembourg	Future_prospects	0.4466038
Workers	Belgium	Future_prospects	0.6309699
Workers	United Kingdom	Future_prospects	0.5846049
Workers	Israel	Future_prospects	0.4219294
Workers	Australia	Future_prospects	0.6764721
Workers	Spain	Future_prospects	0.6769061
Workers	Lithuania	Future_prospects	0.7022694
Workers	Estonia	Future_prospects	0.5276074
Workers	Slovenia	Future_prospects	0.6771901
Workers	Ireland	Future_prospects	0.7086869
Workers	Austria	Future_prospects	0.5515411
Workers	Hungary	Future_prospects	0.6110939
Workers	Latvia	Future_prospects	0.5240224
Workers	Czech Republic	Future_prospects	0.4558713
Workers	Slovak Republic	Future_prospects	0.6870044
Workers	Greece	Future_prospects	0.6170586
Workers	Poland	Future_prospects	0.4039805
Workers	Italy	Future_prospects	0.6398646
Workers	Chile	Future_prospects	0.5252202
Workers	Costa Rica	Future_prospects	0.4113406
Workers	Turkey	Future_prospects	0.1555923
Workers	Mexico	Future_prospects	0.5437075
Workers	Colombia	Future_prospects	0.3641409
Entrepreneurs	Australia	Future_prospects	0.6764721
Entrepreneurs	Austria	Future_prospects	0.5515411
Entrepreneurs	Belgium	Future_prospects	0.6309699
Entrepreneurs	Canada	Future_prospects	0.7214367
Entrepreneurs	Switzerland	Future_prospects	0.4312023
Entrepreneurs	Chile	Future_prospects	0.5252202
Entrepreneurs	Colombia	Future_prospects	0.3641409
Entrepreneurs	Costa Rica	Future_prospects	0.4113406
Entrepreneurs	Czech Republic	Future_prospects	0.4558713
Entrepreneurs	Germany	Future_prospects	0.5873575
Entrepreneurs	Denmark	Future_prospects	0.3770295
Entrepreneurs	Spain	Future_prospects	0.6769061
Entrepreneurs	Estonia	Future_prospects	0.5276074
Entrepreneurs	Finland	Future_prospects	0.5613459
Entrepreneurs	France	Future_prospects	0.6297782
Entrepreneurs	United Kingdom	Future_prospects	0.5846049
Entrepreneurs	Greece	Future_prospects	0.6170586
Entrepreneurs	Hungary	Future_prospects	0.6110939
Entrepreneurs	Ireland	Future_prospects	0.6086869
Entrepreneurs	Iceland	Future_prospects	0.5978256
Entrepreneurs	Israel	Future_prospects	0.4219294
Entrepreneurs	Italy	Future_prospects	0.6398646
Entrepreneurs	Japan	Future_prospects	0.6256554
Entrepreneurs	Korea	Future_prospects	0.5931076
Entrepreneurs	Lithuania	Future_prospects	0.7022694
Entrepreneurs	Luxembourg	Future_prospects	0.4466038
Entrepreneurs	Latvia	Future_prospects	0.5240224
Entrepreneurs	Mexico	Future_prospects	0.5437075
Entrepreneurs	Netherlands	Future_prospects	0.6265563
Entrepreneurs	Norway	Future_prospects	0.5839161
Entrepreneurs	New Zealand	Future_prospects	0.5897653
Entrepreneurs	Poland	Future_prospects	0.4039805
Entrepreneurs	Portugal	Future_prospects	0.7745371
Entrepreneurs	Slovak Republic	Future_prospects	0.6870044
Entrepreneurs	Slovenia	Future_prospects	0.6771901
Entrepreneurs	Sweden	Future_prospects	0.7451767
Entrepreneurs	Turkey	Future_prospects	0.1555923
Entrepreneurs	United States	Future_prospects	0.5238484
Students	Australia	Future_prospects	0.7573541
Students	Austria	Future_prospects	0.6636542
Students	Belgium	Future_prospects	0.7232258
Students	Canada	Future_prospects	0.6660776
Students	Switzerland	Future_prospects	0.5317334
Students	Chile	Future_prospects	0.6439152
Students	Colombia	Future_prospects	0.2427606
Students	Czech Republic	Future_prospects	0.5502369
Students	Germany	Future_prospects	0.6990181
Students	Denmark	Future_prospects	0.4911039
Students	Spain	Future_prospects	0.7660131
Students	Estonia	Future_prospects	0.5290406
Students	Finland	Future_prospects	0.6710079
Students	France	Future_prospects	0.8056672
Students	United Kingdom	Future_prospects	0.7717872
Students	Greece	Future_prospects	0.6211274
Students	Hungary	Future_prospects	0.4916539
Students	Ireland	Future_prospects	0.6065152
Students	Iceland	Future_prospects	0.4817027
Students	Israel	Future_prospects	0.316447
Students	Italy	Future_prospects	0.8132335
Students	Japan	Future_prospects	0.7275766
Students	Korea	Future_prospects	0.6114907
Students	Lithuania	Future_prospects	0.776702
Students	Luxembourg	Future_prospects	0.4599513
Students	Latvia	Future_prospects	0.4263503
Students	Mexico	Future_prospects	0.4077806
Students	Netherlands	Future_prospects	0.7199157
Students	Norway	Future_prospects	0.6879356
Students	New Zealand	Future_prospects	0.6923239
Students	Poland	Future_prospects	0.4363189
Students	Portugal	Future_prospects	0.8392364
Students	Slovak Republic	Future_prospects	0.7235869
Students	Slovenia	Future_prospects	0.716226
Students	Sweden	Future_prospects	0.8088825
Students	Turkey	Future_prospects	0.4500342
Students	United States	Future_prospects	0.6428849
Start-ups	Australia	Future_prospects	0.7017674
Start-ups	Austria	Future_prospects	0.4047521
Start-ups	Canada	Future_prospects	0.7400831
Start-ups	Chile	Future_prospects	0.331195
Start-ups	Germany	Future_prospects	0.4345482
Start-ups	Denmark	Future_prospects	0.3416187
Start-ups	Spain	Future_prospects	0.4755345
Start-ups	Estonia	Future_prospects	0.3356757
Start-ups	Finland	Future_prospects	0.4066716
Start-ups	France	Future_prospects	0.5211902
Start-ups	United Kingdom	Future_prospects	0.4237565
Start-ups	Ireland	Future_prospects	0.4391627
Start-ups	Israel	Future_prospects	0.3930756
Start-ups	Italy	Future_prospects	0.4471963
Start-ups	Japan	Future_prospects	0.3623901
Start-ups	Korea	Future_prospects	0.4565464
Start-ups	Lithuania	Future_prospects	0.4674027
Start-ups	Latvia	Future_prospects	0.3814662
Start-ups	Netherlands	Future_prospects	0.4089337
Start-ups	New Zealand	Future_prospects	0.5643663
Start-ups	Poland	Future_prospects	0.3837976
Start-ups	Portugal	Future_prospects	0.5475121
Start-ups	Sweden	Future_prospects	0.5607378
Start-ups	United States	Future_prospects	0.3695849
Workers	Korea	Family_environment	0.4340614
Workers	Japan	Family_environment	0.414283
Workers	United States	Family_environment	0.6525221
Workers	Sweden	Family_environment	0.6793541
Workers	Norway	Family_environment	0.6846485
Workers	Denmark	Family_environment	0.6114225
Workers	Germany	Family_environment	0.66479
Workers	New Zealand	Family_environment	0.6914433
Workers	Iceland	Family_environment	0.589722
Workers	France	Family_environment	0.6934723
Workers	Finland	Family_environment	0.7290078
Workers	Portugal	Family_environment	0.6505311
Workers	Switzerland	Family_environment	0.737021
Workers	Canada	Family_environment	0.5313248
Workers	Netherlands	Family_environment	0.7153423
Workers	Luxembourg	Family_environment	0.5088907
Workers	Belgium	Family_environment	0.5834153
Workers	United Kingdom	Family_environment	0.8106352
Workers	Israel	Family_environment	0.4502297
Workers	Australia	Family_environment	0.6758847
Workers	Spain	Family_environment	0.6758406
Workers	Lithuania	Family_environment	0.2991153
Workers	Estonia	Family_environment	0.686552
Workers	Slovenia	Family_environment	0.6310541
Workers	Ireland	Family_environment	0.6112464
Workers	Austria	Family_environment	0.7289791
Workers	Hungary	Family_environment	0.5787326
Workers	Latvia	Family_environment	0.4463928
Workers	Czech Republic	Family_environment	0.7107517
Workers	Slovak Republic	Family_environment	0.6711934
Workers	Greece	Family_environment	0.6317989
Workers	Poland	Family_environment	0.6290235
Workers	Italy	Family_environment	0.4993615
Workers	Chile	Family_environment	0.5341057
Workers	Costa Rica	Family_environment	0.4161765
Workers	Turkey	Family_environment	0.4443943
Workers	Mexico	Family_environment	0.4266408
Workers	Colombia	Family_environment	0.4068219
Entrepreneurs	Australia	Family_environment	0.6758847
Entrepreneurs	Austria	Family_environment	0.7289791
Entrepreneurs	Belgium	Family_environment	0.5834153
Entrepreneurs	Canada	Family_environment	0.6146581
Entrepreneurs	Switzerland	Family_environment	0.737021
Entrepreneurs	Chile	Family_environment	0.5341057
Entrepreneurs	Colombia	Family_environment	0.4068219
Entrepreneurs	Costa Rica	Family_environment	0.4161765
Entrepreneurs	Czech Republic	Family_environment	0.544085
Entrepreneurs	Germany	Family_environment	0.66479
Entrepreneurs	Denmark	Family_environment	0.6114225
Entrepreneurs	Spain	Family_environment	0.6758406
Entrepreneurs	Estonia	Family_environment	0.686552
Entrepreneurs	Finland	Family_environment	0.5623411
Entrepreneurs	France	Family_environment	0.6934723
Entrepreneurs	United Kingdom	Family_environment	0.8106352
Entrepreneurs	Greece	Family_environment	0.6317989
Entrepreneurs	Hungary	Family_environment	0.4953992
Entrepreneurs	Ireland	Family_environment	0.5279131
Entrepreneurs	Iceland	Family_environment	0.589722
Entrepreneurs	Israel	Family_environment	0.4502297
Entrepreneurs	Italy	Family_environment	0.5826948
Entrepreneurs	Japan	Family_environment	0.4976164
Entrepreneurs	Korea	Family_environment	0.5173947
Entrepreneurs	Lithuania	Family_environment	0.3824486
Entrepreneurs	Luxembourg	Family_environment	0.5088907
Entrepreneurs	Latvia	Family_environment	0.4463928
Entrepreneurs	Mexico	Family_environment	0.5266408
Entrepreneurs	Netherlands	Family_environment	0.7153423
Entrepreneurs	Norway	Family_environment	0.6846485
Entrepreneurs	New Zealand	Family_environment	0.6914433
Entrepreneurs	Poland	Family_environment	0.5456902
Entrepreneurs	Portugal	Family_environment	0.6505311
Entrepreneurs	Slovak Republic	Family_environment	0.6711934
Entrepreneurs	Slovenia	Family_environment	0.6310541
Entrepreneurs	Sweden	Family_environment	0.6793541
Entrepreneurs	Turkey	Family_environment	0.4443943
Entrepreneurs	United States	Family_environment	0.7358554
Students	Australia	Family_environment	0.5924473
Students	Austria	Family_environment	0.6455549
Students	Belgium	Family_environment	0.5833232
Students	Canada	Family_environment	0.6978762
Students	Switzerland	Family_environment	0.736924
Students	Chile	Family_environment	0.5339757
Students	Colombia	Family_environment	0.4066574
Students	Czech Republic	Family_environment	0.5439686
Students	Germany	Family_environment	0.6646916
Students	Denmark	Family_environment	0.6113489
Students	Spain	Family_environment	0.5090457
Students	Estonia	Family_environment	0.5197766
Students	Finland	Family_environment	0.645582
Students	France	Family_environment	0.52671
Students	United Kingdom	Family_environment	0.7272148
Students	Greece	Family_environment	0.2983375
Students	Hungary	Family_environment	0.4952851
Students	Ireland	Family_environment	0.3611495
Students	Iceland	Family_environment	0.5063143
Students	Israel	Family_environment	0.4501168
Students	Italy	Family_environment	0.5825799
Students	Japan	Family_environment	0.5808306
Students	Korea	Family_environment	0.600602
Students	Lithuania	Family_environment	0.3823255
Students	Luxembourg	Family_environment	0.342224
Students	Latvia	Family_environment	0.5296043
Students	Mexico	Family_environment	0.4264706
Students	Netherlands	Family_environment	0.4652285
Students	Norway	Family_environment	0.6012524
Students	New Zealand	Family_environment	0.524676
Students	Poland	Family_environment	0.4622417
Students	Portugal	Family_environment	0.5670668
Students	Slovak Republic	Family_environment	0.5044025
Students	Slovenia	Family_environment	0.4642672
Students	Sweden	Family_environment	0.5126125
Students	Turkey	Family_environment	0.1942531
Students	United States	Family_environment	0.5690572
Start-ups	Australia	Family_environment	0.6192093
Start-ups	Austria	Family_environment	0.6457163
Start-ups	Canada	Family_environment	0.7068873
Start-ups	Chile	Family_environment	0.4195395
Start-ups	Germany	Family_environment	0.6887022
Start-ups	Denmark	Family_environment	0.7034612
Start-ups	Spain	Family_environment	0.4686127
Start-ups	Estonia	Family_environment	0.4887826
Start-ups	Finland	Family_environment	0.6640363
Start-ups	France	Family_environment	0.6519156
Start-ups	United Kingdom	Family_environment	0.7753058
Start-ups	Ireland	Family_environment	0.6610292
Start-ups	Israel	Family_environment	0.1541644
Start-ups	Italy	Family_environment	0.5649197
Start-ups	Japan	Family_environment	0.3782805
Start-ups	Korea	Family_environment	0.3170928
Start-ups	Lithuania	Family_environment	0.5456502
Start-ups	Latvia	Family_environment	0.4243952
Start-ups	Netherlands	Family_environment	0.6158483
Start-ups	New Zealand	Family_environment	0.6270747
Start-ups	Poland	Family_environment	0.5035663
Start-ups	Portugal	Family_environment	0.522335
Start-ups	Sweden	Family_environment	0.5921044
Start-ups	United States	Family_environment	0.470438
Workers	Korea	Skills_environment	0.7045267
Workers	Japan	Skills_environment	0.661891
Workers	United States	Skills_environment	0.6339144
Workers	Sweden	Skills_environment	0.6229414
Workers	Norway	Skills_environment	0.5675303
Workers	Denmark	Skills_environment	0.5441883
Workers	Germany	Skills_environment	0.5270157
Workers	New Zealand	Skills_environment	0.5158412
Workers	Iceland	Skills_environment	0.5144452
Workers	France	Skills_environment	0.5132365
Workers	Finland	Skills_environment	0.5095153
Workers	Portugal	Skills_environment	0.508745
Workers	Switzerland	Skills_environment	0.4934841
Workers	Canada	Skills_environment	0.4713652
Workers	Netherlands	Skills_environment	0.4684948
Workers	Luxembourg	Skills_environment	0.4540097
Workers	Belgium	Skills_environment	0.4506423
Workers	United Kingdom	Skills_environment	0.4387716
Workers	Israel	Skills_environment	0.4385947
Workers	Australia	Skills_environment	0.4324988
Workers	Spain	Skills_environment	0.4213137
Workers	Lithuania	Skills_environment	0.4079463
Workers	Estonia	Skills_environment	0.4009529
Workers	Slovenia	Skills_environment	0.3988906
Workers	Ireland	Skills_environment	0.3837431
Workers	Austria	Skills_environment	0.3671291
Workers	Hungary	Skills_environment	0.3656699
Workers	Latvia	Skills_environment	0.3616305
Workers	Czech Republic	Skills_environment	0.3561168
Workers	Slovak Republic	Skills_environment	0.3345871
Workers	Greece	Skills_environment	0.321705
Workers	Poland	Skills_environment	0.2862253
Workers	Italy	Skills_environment	0.2649035
Workers	Chile	Skills_environment	0.2436847
Workers	Costa Rica	Skills_environment	0.1687431
Workers	Turkey	Skills_environment	0.1623106
Workers	Mexico	Skills_environment	0.0913988
Workers	Colombia	Skills_environment	0.0904966
Entrepreneurs	Australia	Skills_environment	0.4324988
Entrepreneurs	Austria	Skills_environment	0.3671291
Entrepreneurs	Belgium	Skills_environment	0.4506423
Entrepreneurs	Canada	Skills_environment	0.4713652
Entrepreneurs	Switzerland	Skills_environment	0.4934841
Entrepreneurs	Chile	Skills_environment	0.2436847
Entrepreneurs	Colombia	Skills_environment	0.0904966
Entrepreneurs	Costa Rica	Skills_environment	0.1687431
Entrepreneurs	Czech Republic	Skills_environment	0.3561168
Entrepreneurs	Germany	Skills_environment	0.5270157
Entrepreneurs	Denmark	Skills_environment	0.5441883
Entrepreneurs	Spain	Skills_environment	0.4213137
Entrepreneurs	Estonia	Skills_environment	0.4009529
Entrepreneurs	Finland	Skills_environment	0.5095153
Entrepreneurs	France	Skills_environment	0.5132365
Entrepreneurs	United Kingdom	Skills_environment	0.4387716
Entrepreneurs	Greece	Skills_environment	0.321705
Entrepreneurs	Hungary	Skills_environment	0.3656699
Entrepreneurs	Ireland	Skills_environment	0.3837431
Entrepreneurs	Iceland	Skills_environment	0.5144452
Entrepreneurs	Israel	Skills_environment	0.4385947
Entrepreneurs	Italy	Skills_environment	0.2649035
