Countries	Cat	Quality_of_opportunities	Income	Future_prospects	Family_environment	Skills_environment	Inclusiveness	Quality_of_life	Quality_of_opportunities_Quartiles	Income_Quartiles	Future_prospects_Quartiles	Family_environment_Quartiles	Skills_environment_Quartiles	Inclusiveness_Quartiles	Quality_of_life_Quartiles
Latvia	Entrepreneurs	0.340	0.542	0.681	0.379	0.328	0.417	0.410	2	3	4	1	1	2	1
Luxembourg	Entrepreneurs	0.226	0.422	0.374	0.413	0.503	0.716	0.699	1	2	1	1	2	4	3
Mexico	Entrepreneurs	0.515	0.423	0.500	0.500	0.062	0.122	0.281	4	2	1	2	1	1	1
Netherlands	Entrepreneurs	0.141	0.460	0.631	0.703	0.558	0.485	0.739	1	2	3	4	3	2	3
New Zealand	Entrepreneurs	0.642	0.361	0.642	0.670	0.479	0.659	0.689	4	1	3	4	2	4	3
Norway	Entrepreneurs	0.385	0.359	0.554	0.660	0.545	0.532	0.788	3	1	2	4	3	3	4
Poland	Entrepreneurs	0.346	0.624	0.408	0.433	0.353	0.421	0.494	2	4	1	1	1	2	1
Portugal	Entrepreneurs	0.265	0.387	0.787	0.613	0.348	0.426	0.479	1	1	4	3	1	2	1
Slovak Republic	Entrepreneurs	0.283	0.532	0.678	0.632	0.377	0.337	0.476	1	3	4	3	2	1	1
Slovenia	Entrepreneurs	0.378	0.574	0.784	0.580	0.437	0.481	0.607	3	4	4	2	2	2	2
Spain	Entrepreneurs	0.370	0.406	0.677	0.661	0.332	0.400	0.563	3	1	3	4	1	2	2
Sweden	Entrepreneurs	0.356	0.374	0.630	0.652	0.617	0.604	0.752	2	1	3	4	4	4	4
Switzerland	Entrepreneurs	0.356	0.585	0.421	0.619	0.547	0.771	0.762	2	4	1	3	3	4	4
Turkey	Entrepreneurs	0.418	0.546	0.145	0.374	0.178	0.270	0.314	4	3	1	1	1	1	1
United Kingdom	Entrepreneurs	0.394	0.454	0.566	0.814	0.585	0.350	0.667	3	2	2	4	4	1	3
United States	Entrepreneurs	0.555	0.523	0.509	0.616	0.764	0.489	0.746	4	3	1	3	4	3	4
Australia	Workers	0.658	0.431	0.690	0.647	0.556	0.695	0.764	2	2	4	3	3	4	4
Austria	Workers	0.650	0.420	0.577	0.680	0.519	0.579	0.661	2	2	2	4	3	3	3
Belgium	Workers	0.700	0.332	0.582	0.453	0.474	0.487	0.689	3	1	2	1	2	3	3
Canada	Workers	0.752	0.475	0.750	0.572	0.538	0.604	0.756	3	3	4	2	3	4	4
Chile	Workers	0.625	0.826	0.516	0.518	0.175	0.357	0.417	2	4	1	2	1	1	1
Czech Republic	Workers	0.865	0.495	0.660	0.487	0.426	0.304	0.562	4	3	3	1	2	1	2
Denmark	Workers	0.646	0.445	0.379	0.580	0.595	0.588	0.758	2	2	1	3	4	4	4
Estonia	Workers	0.813	0.446	0.526	0.638	0.430	0.560	0.547	3	2	2	3	2	3	2
Finland	Workers	0.543	0.409	0.582	0.549	0.586	0.526	0.727	1	2	2	2	4	3	3
France	Workers	0.669	0.377	0.603	0.676	0.445	0.436	0.631	3	1	2	4	2	2	2
Germany	Workers	0.580	0.437	0.607	0.620	0.627	0.562	0.709	1	2	2	3	4	3	3
Greece	Workers	0.593	0.356	0.640	0.603	0.269	0.129	0.364	1	1	3	3	1	1	1
Hungary	Workers	0.904	0.502	0.637	0.459	0.376	0.226	0.431	4	4	3	1	2	1	1
Iceland	Workers	0.751	0.464	0.578	0.544	0.559	0.516	0.742	3	3	2	2	3	3	4
Ireland	Workers	0.772	0.464	0.672	0.574	0.521	0.587	0.674	3	3	3	2	3	4	3
Israel	Workers	0.603	0.466	0.418	0.439	0.548	0.207	0.535	1	3	1	1	3	1	2
Italy	Workers	0.448	0.318	0.641	0.534	0.338	0.333	0.500	1	1	3	2	1	1	2
Japan	Workers	0.242	0.493	0.830	0.398	0.628	0.556	0.577	1	3	4	1	4	3	2
Korea	Workers	0.404	0.591	0.735	0.507	0.697	0.484	0.517	1	4	4	2	4	2	2
Latvia	Workers	0.888	0.397	0.681	0.379	0.328	0.413	0.410	4	2	4	1	1	2	1
Luxembourg	Workers	0.827	0.331	0.374	0.496	0.503	0.716	0.699	4	1	1	1	2	4	3
Mexico	Workers	0.632	0.596	0.500	0.500	0.062	0.128	0.281	2	4	1	2	1	1	1
Netherlands	Workers	0.569	0.503	0.631	0.703	0.558	0.491	0.739	1	4	3	4	3	3	3
New Zealand	Workers	0.744	0.507	0.642	0.670	0.479	0.668	0.689	3	4	3	4	2	4	3
Norway	Workers	0.663	0.336	0.554	0.660	0.545	0.543	0.788	2	1	2	4	3	3	4
Poland	Workers	0.635	0.574	0.408	0.433	0.353	0.421	0.494	2	4	1	1	1	2	1
Portugal	Workers	0.731	0.382	0.787	0.613	0.348	0.424	0.479	3	1	4	3	1	2	1
Slovak Republic	Workers	0.863	0.461	0.678	0.632	0.377	0.336	0.476	4	2	4	3	2	1	1
Slovenia	Workers	0.833	0.461	0.784	0.580	0.437	0.451	0.607	4	3	4	2	2	2	2
Spain	Workers	0.461	0.384	0.677	0.661	0.332	0.374	0.563	1	1	3	4	1	2	2
Sweden	Workers	0.639	0.331	0.630	0.652	0.617	0.627	0.752	2	1	3	4	4	4	4
Switzerland	Workers	0.621	0.467	0.421	0.619	0.547	0.773	0.762	2	3	1	3	3	4	4
Turkey	Workers	0.853	0.472	0.145	0.374	0.178	0.281	0.314	4	3	1	1	1	1	1
United Kingdom	Workers	0.751	0.398	0.566	0.814	0.585	0.384	0.667	3	2	2	4	4	2	3
United States	Workers	0.852	0.673	0.509	0.616	0.764	0.480	0.746	4	4	1	3	4	2	4
