Cat	Countries	Quality_of_opportunities	Income	Future_prospects	Family_environment	Skills_environment	Inclusiveness	Quality_of_life	Penalty	Health	ITA
Workers	France	0.675833100	0.316656300	0.629778200	0.693472300	0.513236500	0.507833900	0.661244600	0.950625000	0.799394000	0.570071800
Workers	United Kingdom	0.779305000	0.368365600	0.584604900	0.810635200	0.438771600	0.555647500	0.692018700	0.975000000	0.762369600	0.608365700
Workers	Greece	0.425759900	0.425913300	0.617058600	0.631798900	0.321705000	0.163161900	0.431963700	0.926250000	0.345655300	0.389374300
Workers	Hungary	0.950637100	0.394567200	0.611093900	0.578732600	0.365669900	0.167285900	0.537671000	0.975000000	0.233944600	0.467951500
Workers	Ireland	0.726929600	0.408517500	0.708686900	0.611246400	0.383743100	0.667874500	0.685022500	0.950625000	0.721449700	0.583858400
Workers	Iceland	0.603934800	0.396869800	0.597825600	0.589722000	0.514445200	0.607291200	0.772966400	0.938742200	0.860212700	0.580056800
Workers	Israel	0.663081600	0.298810600	0.421929400	0.450229700	0.438594700	0.232241300	0.595309900	0.926250000	0.705440000	0.440621400
Workers	Italy	0.484135400	0.355068700	0.639864600	0.499361500	0.264903500	0.505850100	0.587282500	0.914671900	0.542261800	0.443470400
Workers	Japan	0.525501400	0.397211800	0.625655400	0.414283000	0.661891000	0.484150200	0.580048600	0.950625000	0.809320400	0.534496200
Workers	Korea	0.412569900	0.477679500	0.593107600	0.434061400	0.704526700	0.463038100	0.588717400	0.950625000	0.616787000	0.509830600
Workers	Lithuania	0.829166900	0.360223700	0.702269400	0.299115300	0.407946300	0.301435800	0.564283400	0.962812500	0.232715600	0.444958600
Workers	Luxembourg	0.884772100	0.332897800	0.446603800	0.508890700	0.454009700	0.838464400	0.736450900	0.987500000	0.931667900	0.633698200
Workers	Latvia	0.842183600	0.321894100	0.524022400	0.446392800	0.361630500	0.290560500	0.526004900	0.926859400	0.067899500	0.391666300
Workers	Mexico	0.598119700	0.530474600	0.543707500	0.426640800	0.091398800	0.165792200	0.276127200	0.962812500	0.162207800	0.336318700
Workers	Netherlands	0.517432300	0.460331100	0.626556300	0.715342300	0.468494800	0.566108800	0.771155500	0.975000000	0.936911400	0.616971800
Workers	Norway	0.675990100	0.442344300	0.583916100	0.684648500	0.567530300	0.616788000	0.795241200	0.975000000	0.896691000	0.641446400
Workers	New Zealand	0.814213600	0.425150400	0.689765300	0.691443300	0.515841200	0.732002300	0.726479000	0.975000000	0.841426600	0.662551700
Workers	Poland	0.732276100	0.434017200	0.403980500	0.629023500	0.286225300	0.340447600	0.581692300	0.903093800	0.440295300	0.434383300
Workers	Portugal	0.745362100	0.357927000	0.774537100	0.650531100	0.508745000	0.543659900	0.547719900	0.962812500	0.522980800	0.559810900
Workers	Slovak Republic	0.893876800	0.323510200	0.687004400	0.671193400	0.334587100	0.231358400	0.535355800	0.950625000	0.477985400	0.493715600
Workers	Slovenia	0.777274000	0.361530200	0.677190100	0.631054100	0.398890600	0.341086800	0.662253600	0.962812500	0.795732900	0.559034500
Workers	Sweden	0.700808900	0.355553900	0.634065400	0.679354100	0.622941400	0.685049800	0.770685600	0.975000000	0.836928400	0.644156600
Workers	Türkiye	0.679791000	0.429103700	0.155592300	0.444394300	0.162310600	0.208310400	0.351887600	0.962812500	0.600808900	0.364929900
Workers	United States	0.822976600	0.490214400	0.634959800	0.652522100	0.633914400	0.588482300	0.763644800	0.879937500	0.705888200	0.582144900
Entrepreneurs	Australia	0.378925300	0.335643200	0.676472100	0.675884700	0.432498800	0.711362900	0.778565000	0.938125000	0.874735200	0.570390200
Entrepreneurs	Austria	0.396913000	0.392987000	0.551541100	0.728979100	0.367129100	0.544995800	0.677674600	0.975000000	0.801858700	0.543815900
Entrepreneurs	Belgium	0.356487600	0.385051900	0.630969900	0.583415300	0.450642300	0.467512800	0.693532000	0.987500000	0.814442700	0.540909800
Entrepreneurs	Canada	0.529539900	0.505065000	0.721436700	0.614658100	0.471365200	0.684628800	0.758568200	0.975000000	0.762204200	0.615159900
Entrepreneurs	Switzerland	0.417340300	0.666666700	0.431202300	0.737021000	0.493484100	0.747782800	0.782109400	0.987500000	0.798808500	0.626373100
Entrepreneurs	Chile	0.323268900	0.646583700	0.525220200	0.534105700	0.243684700	0.400874400	0.390299600	1.000000000	0.327896000	0.423991700
Entrepreneurs	Colombia	0.324673600	0.313915800	0.364140900	0.406821900	0.090496600	0.419380200	0.255049400	0.950625000	0.474422600	0.314763900
Entrepreneurs	Costa Rica	0.529310200	0.322545200	0.411340600	0.416176500	0.168743100	0.348298800	0.383632000	0.926250000	0.594794200	0.367587000
Entrepreneurs	Czech Republic	0.344227100	0.460233600	0.455871300	0.544085000	0.356116800	0.237892700	0.617968000	0.975000000	0.704681300	0.453506100
Entrepreneurs	Germany	0.293939500	0.542114400	0.587357500	0.664790000	0.527015700	0.573888500	0.717635400	0.950625000	0.815917100	0.561184600
Entrepreneurs	Denmark	0.470144400	0.476015500	0.377029500	0.611422500	0.544188300	0.602405500	0.740542200	1.000000000	0.866885100	0.586079100
Entrepreneurs	Spain	0.303376600	0.358247800	0.676906100	0.675840600	0.421313700	0.569202500	0.607452800	0.975000000	0.667427900	0.521596700
Entrepreneurs	Estonia	0.464237600	0.407959800	0.527607400	0.686552000	0.400952900	0.339818100	0.660433700	0.975000000	0.460552200	0.481176300
Entrepreneurs	Finland	0.418260400	0.429000500	0.561345900	0.562341100	0.509515300	0.511568300	0.755147600	1.000000000	0.760026500	0.563400700
Entrepreneurs	France	0.325220500	0.327452800	0.629778200	0.693472300	0.513236500	0.507410900	0.661244600	0.950625000	0.799394000	0.529641900
Entrepreneurs	United Kingdom	0.389471600	0.426338000	0.584604900	0.810635200	0.438771600	0.557716500	0.692018700	0.975000000	0.762369600	0.568172300
Entrepreneurs	Greece	0.244128000	0.385612700	0.617058600	0.631798900	0.321705000	0.186855600	0.431963700	0.926250000	0.345655300	0.366421900
Entrepreneurs	Hungary	0.388944100	0.631444900	0.611093900	0.495399200	0.365669900	0.160684300	0.537671000	0.950625000	0.233944600	0.406968700
Entrepreneurs	Ireland	0.550850200	0.589175800	0.608686900	0.527913100	0.383743100	0.645302700	0.685022500	0.950000000	0.721449700	0.559567100
Entrepreneurs	Israel	0.335727700	0.276916700	0.421929400	0.450229700	0.438594700	0.242210900	0.595309900	0.879937500	0.705440000	0.381272400
Entrepreneurs	Italy	0.246287100	0.373045800	0.639864600	0.582694800	0.264903500	0.551165900	0.587282500	0.987500000	0.542261800	0.467520300
Entrepreneurs	Japan	0.371074200	0.381120600	0.625655400	0.497616400	0.661891000	0.487580700	0.580048600	0.926250000	0.809320400	0.511094000
Entrepreneurs	Korea	0.514609600	0.353596500	0.593107600	0.517394700	0.704526700	0.473325200	0.588717400	0.950625000	0.616787000	0.518336000
Entrepreneurs	Lithuania	0.449270400	0.491505200	0.702269400	0.382448600	0.407946300	0.305749100	0.564283400	0.962812500	0.232715600	0.425585800
Entrepreneurs	Luxembourg	0.481668100	0.452986400	0.446603800	0.508890700	0.454009700	0.838464400	0.736450900	0.987500000	0.931667900	0.598763500
Entrepreneurs	Latvia	0.358231400	0.392612500	0.524022400	0.446392800	0.361630500	0.287983300	0.526004900	0.975000000	0.067899500	0.361332200
Entrepreneurs	Mexico	0.291143900	0.340211400	0.543707500	0.526640800	0.091398800	0.166219900	0.276127200	0.914671900	0.162207800	0.274133700
Entrepreneurs	Netherlands	0.252730400	0.400348600	0.626556300	0.715342300	0.468494800	0.563570400	0.771155500	0.975000000	0.936911400	0.577091500
Entrepreneurs	Norway	0.382807700	0.478629900	0.583916100	0.684648500	0.567530300	0.595783400	0.795241200	1.000000000	0.896691000	0.623156000
Entrepreneurs	New Zealand	0.535444600	0.276460600	0.589765300	0.691443300	0.515841200	0.726389200	0.726479000	0.975000000	0.841426600	0.597583500
Entrepreneurs	Poland	0.367804900	0.481691100	0.403980500	0.545690200	0.286225300	0.339582900	0.581692300	0.975000000	0.440295300	0.420098500
Entrepreneurs	Portugal	0.313728900	0.253691000	0.774537100	0.650531100	0.508745000	0.539250700	0.547719900	0.987500000	0.522980800	0.507474400
Entrepreneurs	Slovak Republic	0.395555500	0.383273700	0.687004400	0.671193400	0.334587100	0.232351100	0.535355800	0.975000000	0.477985400	0.453046700
Entrepreneurs	Slovenia	0.380362300	0.468762900	0.677190100	0.631054100	0.398890600	0.369531800	0.662253600	0.914671900	0.795732900	0.501214800
Entrepreneurs	Sweden	0.354780800	0.404908400	0.745176700	0.679354100	0.622941400	0.679304100	0.770685600	1.000000000	0.836928400	0.636759900
Entrepreneurs	Türkiye	0.444802000	0.428509200	0.155592300	0.444394300	0.162310600	0.207147700	0.351887600	0.914671900	0.600808900	0.319615200
Entrepreneurs	United States	0.579123900	0.501536100	0.523848400	0.735855400	0.633914400	0.597276200	0.763644800	0.879937500	0.705888200	0.554480200
Students	Australia	0.188976400	0.425369200	0.757354100	0.592447300	0.628398700	0.729860900	0.778565000	0.938125000	0.874735200	0.583479300
Students	Austria	0.047244100	0.312016100	0.664219100	0.645554900	0.455557700	0.537240900	0.677674600	0.987500000	0.801858700	0.511130100
Students	Belgium	0.055118100	0.397741300	0.722970000	0.583323200	0.522960200	0.435008800	0.693532000	0.938437500	0.814442700	0.495653600
Students	Canada	0.149606300	0.426976700	0.666077600	0.697876200	0.700403700	0.630869000	0.758568200	0.926250000	0.762204200	0.554891200
Students	Switzerland	0.055118100	0.625000000	0.531768500	0.736924000	0.553281200	0.687116700	0.782109400	0.938437500	0.798808500	0.559554100
Students	Chile	0.007874000	0.636583300	0.643915200	0.533975700	0.551937200	0.365418900	0.390299600	0.902500000	0.327896000	0.390094300
Students	Colombia	0.000000000	0.487817900	0.242760600	0.406657400	0.218156900	0.395673100	0.255049400	0.926250000	0.474422600	0.287199800
Students	Czech Republic	0.015748000	0.322737900	0.550236900	0.543968600	0.444769600	0.311070800	0.617968000	1.000000000	0.704681300	0.438897600
Students	Germany	0.244094500	0.681821300	0.699223800	0.664691600	0.529048400	0.538984800	0.717635400	0.962500000	0.815917100	0.588473900
Students	Denmark	0.039370100	0.343861600	0.485099000	0.611348900	0.701486500	0.611697600	0.740542200	0.962812500	0.866885100	0.530304600
Students	Spain	0.086614200	0.619302600	0.767590200	0.509045700	0.560790800	0.495836600	0.607452800	0.926250000	0.667427900	0.499304800
Students	Estonia	0.000000000	0.426929700	0.529040600	0.519776600	0.542039900	0.360010200	0.660433700	0.950625000	0.460552200	0.415753800
Students	Finland	0.039370100	0.359354900	0.671007900	0.645582000	0.624210500	0.512539400	0.755147600	0.938125000	0.760026500	0.512127000
Students	France	0.125984300	0.312600700	0.805667200	0.526710000	0.628372300	0.503709400	0.661244600	0.950625000	0.799394000	0.518528200
Students	United Kingdom	0.299212600	0.363709000	0.769620100	0.727214800	0.632175400	0.586822000	0.692018700	0.950000000	0.762369600	0.574193000
Students	Greece	0.007874000	0.341542200	0.621443700	0.298337500	0.396153900	0.172611300	0.431963700	0.950000000	0.345655300	0.310562800
Students	Hungary	0.000000000	0.654128000	0.488943300	0.495285100	0.441332900	0.230637500	0.537671000	0.975000000	0.233944600	0.375942100
Students	Ireland	0.023622000	0.361492600	0.606017100	0.361149500	0.474359700	0.591008800	0.685022500	0.914374900	0.721449700	0.437142100
Students	Iceland	0.000000000	0.509651400	0.482062600	0.506314300	0.626294300	0.602561400	0.772966400	0.962500000	0.860212700	0.524526800
Students	Israel	0.047244100	0.078645500	0.316447000	0.450116800	0.403179800	0.140510200	0.595309900	0.902500000	0.705440000	0.308755800
Students	Italy	0.133858300	0.598506500	0.822796800	0.582579900	0.306748800	0.493152400	0.587282500	0.926250000	0.542261800	0.469796700
Students	Japan	0.102362200	0.666708500	0.727576600	0.580830600	0.535652000	0.514857600	0.580048600	0.975000000	0.809320400	0.550552800
Students	Korea	0.086614200	0.614588900	0.611490700	0.600602000	0.684801900	0.479243100	0.588717400	0.975000000	0.616787000	0.521971800
Students	Lithuania	0.000000000	0.689946400	0.776716400	0.382325500	0.537423100	0.326416600	0.564283400	0.962812500	0.232715600	0.422411400
Students	Luxembourg	0.000000000	0.571146500	0.461811900	0.342224000	0.526521400	0.838464400	0.736450900	0.987500000	0.931667900	0.543918300
Students	Latvia	0.000000000	0.357402900	0.426350300	0.529604300	0.530796900	0.312612700	0.526004900	0.950625000	0.067899500	0.326857100
Students	Mexico	0.007874000	0.458105300	0.407780600	0.426470600	0.216977700	0.169151300	0.276127200	0.950625000	0.162207800	0.252473500
Students	Netherlands	0.094488200	0.331506200	0.719576700	0.465228500	0.616377700	0.573905400	0.771155500	0.938125000	0.936911400	0.528808000
Students	Norway	0.023622000	0.672913300	0.685892700	0.601252400	0.778821300	0.513148500	0.795241200	0.950000000	0.896691000	0.590143000
Students	New Zealand	0.031496100	0.355061500	0.692323900	0.524676000	0.720972400	0.681861800	0.726479000	0.926250000	0.841426600	0.529617900
Students	Poland	0.015748000	0.729147700	0.436318900	0.462241700	0.391615900	0.364621600	0.581692300	1.000000000	0.440295300	0.427710200
Students	Portugal	0.031496100	0.547030900	0.840746600	0.567066800	0.648370900	0.552001200	0.547719900	0.950625000	0.522980800	0.505721000
Students	Slovak Republic	0.000000000	0.543212800	0.724106300	0.504402500	0.442276900	0.290207500	0.535355800	1.000000000	0.477985400	0.439628500
Students	Slovenia	0.007874000	0.465566900	0.716226000	0.464267200	0.474945500	0.361828400	0.662253600	0.938437500	0.795732900	0.463200400
Students	Sweden	0.078740200	0.416928500	0.803444000	0.512612500	0.737702100	0.605591800	0.770685600	0.902500000	0.836928400	0.537898100
Students	Türkiye	0.007874000	0.695714100	0.450034200	0.194253100	0.293310800	0.208683300	0.351887600	0.950625000	0.600808900	0.333023700
Students	United States	1.000000000	0.381487200	0.642884900	0.569057200	0.711354300	0.530605600	0.763644800	0.914374900	0.705888200	0.606336000
Start-ups	Australia	0.170409900	0.170768200	0.701767400	0.619209300	0.413551500	0.619322800	0.745945800	0.961578100	0.889928600	0.520562800
Start-ups	Austria	0.222754200	0.283291600	0.404752100	0.645716300	0.397511500	0.492680300	0.634796100	0.975000000	0.805342500	0.473709200
Start-ups	Canada	0.269524500	0.498154700	0.740083100	0.706887300	0.483791900	0.645168900	0.725586300	0.975000000	0.772935200	0.590134800
Start-ups	Chile	0.138751000	0.710731900	0.331195000	0.419539500	0.132099400	0.383493500	0.252914300	0.974390600	0.290420200	0.323880700
Start-ups	Germany	0.150103400	0.415831000	0.434548200	0.688702200	0.591779900	0.469250900	0.690220400	0.915273700	0.830661800	0.488652900
Start-ups	Denmark	0.134988600	0.214425900	0.341618700	0.703461200	0.469601000	0.636023800	0.712332700	0.950625000	0.881381000	0.486462500
Start-ups	Spain	0.122794800	0.440829800	0.475534500	0.468612700	0.385220700	0.651150200	0.523403200	1.012187000	0.664035600	0.472132500
Start-ups	Estonia	0.214214200	0.358089300	0.335675700	0.488782600	0.416477300	0.312291200	0.601089200	0.974390600	0.436373700	0.385248900
Start-ups	Finland	0.160700200	0.228344700	0.406671600	0.664036300	0.484329300	0.565982700	0.726842900	0.975000000	0.764053400	0.487617200
Start-ups	France	0.201029000	0.381327600	0.521190200	0.651915600	0.497075500	0.618191300	0.607466700	1.050625000	0.826666700	0.565349500
Start-ups	United Kingdom	0.239859500	0.405281800	0.423756500	0.775305800	0.440931500	0.603105400	0.653495300	0.975000000	0.770724700	0.525581100
Start-ups	Ireland	0.365486900	0.483805500	0.439162700	0.661029200	0.349045600	0.710865300	0.645336000	0.926859400	0.740514500	0.509221900
Start-ups	Israel	0.160625300	0.337500000	0.393075600	0.154164400	0.399515900	0.288377800	0.527021100	0.962812500	0.705662700	0.356955800
Start-ups	Italy	0.134198300	0.346977400	0.447196300	0.564919700	0.287307500	0.526697500	0.502501300	0.962812500	0.534999500	0.402551600
Start-ups	Japan	0.150816100	0.311763000	0.362390100	0.378280500	0.536381000	0.255495000	0.514834300	0.999375000	0.830138000	0.417251300
Start-ups	Korea	0.199242900	0.413318800	0.456546400	0.317092800	0.641973600	0.214279100	0.527088000	0.999375000	0.591576300	0.419877200
Start-ups	Lithuania	0.195861900	0.618950200	0.467402700	0.545650200	0.400375700	0.496797700	0.472743400	0.987500000	0.177893700	0.416685000
Start-ups	Latvia	0.202120000	0.332297100	0.381466200	0.424395200	0.316970700	0.452403200	0.422798100	0.986882800	0.000000000	0.312404000
Start-ups	Netherlands	0.205788300	0.428859500	0.408933700	0.615848300	0.411374600	0.569962300	0.751410400	0.975000000	0.962200100	0.530689700
Start-ups	New Zealand	0.135221100	0.192371300	0.564366300	0.627074700	0.419065400	0.618591500	0.686633800	0.950625000	0.858105700	0.487365200
Start-ups	Poland	0.180204400	0.528525700	0.383797600	0.503566300	0.254231100	0.479059600	0.526259200	0.999375000	0.427502000	0.410136700
Start-ups	Portugal	0.197076500	0.428232400	0.547512100	0.522335000	0.497626500	0.742381600	0.464825200	0.987500000	0.493150100	0.480559400
Start-ups	Sweden	0.143189800	0.261805600	0.560737800	0.592104400	0.562006700	0.625545400	0.744075500	0.950625000	0.854556900	0.516192000
Start-ups	United States	0.706061800	0.291476500	0.369584900	0.470438000	0.670359400	0.529351000	0.709066500	1.000000000	0.716189600	0.557816000
